"BranchName","ModuleName","Status","PRUrl","Comments"
"Accounts-ADDomainServices-Advisor-Aks-AlertsManagement/helpurl","Accounts|ADDomainServices|Advisor|Aks|AlertsManagement","Success","https://github.com/Azure/azure-powershell/pull/20263",
"AnalysisServices-ApiManagement-App-AppConfiguration-ApplicationInsights/helpurl","AnalysisServices|ApiManagement|App|AppConfiguration|ApplicationInsights","Success","https://github.com/Azure/azure-powershell/pull/20264",
"Attestation-Automanage-Automation-BareMetal-Batch/helpurl","Attestation|Automanage|Automation|BareMetal|Batch","Success","https://github.com/Azure/azure-powershell/pull/20265",
"Billing-Blueprint-BotService-Cdn-ChangeAnalysis/helpurl","Billing|Blueprint|BotService|Cdn|ChangeAnalysis","Success","https://github.com/Azure/azure-powershell/pull/20266",
"CloudService-CognitiveServices-Communication-Compute-ConfidentialLedger/helpurl","CloudService|CognitiveServices|Communication|Compute|ConfidentialLedger","Success","https://github.com/Azure/azure-powershell/pull/20267",
"Confluent-ConnectedKubernetes-ConnectedMachine-ConnectedNetwork-ContainerInstance/helpurl","Confluent|ConnectedKubernetes|ConnectedMachine|ConnectedNetwork|ContainerInstance","Success","https://github.com/Azure/azure-powershell/pull/20268",
"ContainerRegistry-CosmosDB-CostManagement-CustomLocation-CustomProviders/helpurl","ContainerRegistry|CosmosDB|CostManagement|CustomLocation|CustomProviders","Success","https://github.com/Azure/azure-powershell/pull/20269",
"Dashboard-DataBox-DataBoxEdge-Databricks-Datadog/helpurl","Dashboard|DataBox|DataBoxEdge|Databricks|Datadog","Success","https://github.com/Azure/azure-powershell/pull/20270",
"DataFactory-DataLakeAnalytics-DataLakeStore-DataMigration-DataProtection/helpurl","DataFactory|DataLakeAnalytics|DataLakeStore|DataMigration|DataProtection","Success","https://github.com/Azure/azure-powershell/pull/20271",
"DataShare-DedicatedHsm-DeploymentManager-DesktopVirtualization-DeviceProvisioningServices/helpurl","DataShare|DedicatedHsm|DeploymentManager|DesktopVirtualization|DeviceProvisioningServices","Success","https://github.com/Azure/azure-powershell/pull/20272",
